name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass
Sleeper Camp 027,55401,Valid,H5,10.85,Found,2005.0,-30.16028,126.34833,1.0354297782116877
Northwest Africa 7312,55613,Valid,Lodranite,778.0,Found,2012.0,0.0,0.0,2.8909795975479082
Northwest Africa 6904,53849,Valid,LL6,115.0,Found,2011.0,0.0,0.0,2.0606978441300856
Shalim 017,56201,Valid,H5,127.1,Found,2011.0,18.65388,55.1467,2.1041455539709593
Königsbrück,34493,Valid,H/L4,51.8,Found,2004.0,51.26667,13.9,1.7143297681292962
Dominion Range 08424,54135,Valid,LL6,53.1,Found,2008.0,0.0,0.0,1.7250945292602728
Queen Alexandra Range 94309,19944,Valid,H5,8.8,Found,1994.0,-84.0,168.0,0.9444827215018115
Yamato 981638,38261,Valid,Eucrite,11.39,Found,1998.0,0.0,0.0,1.0565237622085528
Yamato 82050,29244,Valid,CO3.2,1906.61,Found,1982.0,-71.5,35.66667,3.280261866755853
Miller Range 07688,51389,Valid,CO3,0.9,Found,2007.0,0.0,0.0,-0.04575700801151884
Yamato 791768,27117,Valid,L4,1.25,Found,1979.0,-71.5,35.66667,0.09691036044350293
Grove Mountains 022193,46595,Valid,L5,14.8,Found,2003.0,-72.78139,75.30556,1.170261744739178
Northwest Africa 5297,49045,Valid,Achondrite-prim,130.0,Found,2008.0,0.0,0.0,2.1139433556475637
Elephant Moraine 96163,9755,Valid,H6,0.6,Found,1996.0,-76.18333,157.16667,-0.22184802579282306
Graves Nunataks 98143,11133,Valid,L6,11.0,Found,1998.0,-86.71667,-141.5,1.0413927246395398
Dhofar 1583,52589,Valid,H5,510.0,Found,2004.0,18.49767,54.33017,2.707570176949494
Yamato 791329,26678,Valid,H4,5.52,Found,1979.0,-71.5,35.66667,0.7419391564057283
Grove Mountains 021570,46759,Valid,H5,24.36,Found,2003.0,-72.93333,75.33528,1.3866773017890182
Allan Hills A81153,2113,Valid,L5,4.2,Found,1981.0,-76.68889,159.37972,0.6232493938013363
Miller Range 090336,53447,Valid,LL6,2.5,Found,2009.0,0.0,0.0,0.39794018238979567
Allan Hills 85033,899,Valid,L4,249.8,Found,1985.0,-76.86198,156.43418,2.3975924357766853
Queen Alexandra Range 93211,19300,Valid,L5,21.2,Found,1993.0,-84.57566,162.08713,1.3263358814143398
Lewis Cliff 85463,12931,Valid,L6,12.3,Found,1985.0,-84.27633,161.38667,1.089905146747891
Allan Hills A77302,1611,Valid,Eucrite-pmict,235.5,Found,1977.0,-76.71667,159.66667,2.371990913309053
Sayh al Uhaymir 410,35699,Valid,L4,455.7,Found,2005.0,20.91212,56.84697,2.658679029535476
Larkman Nunatak 06506,49629,Valid,H6,6.6,Found,2006.0,0.0,0.0,0.8195440013440579
Sayh al Uhaymir 161,23348,Valid,H6,263.0,Found,2000.0,20.09,56.72048,2.419955750141068
Northwest Africa 6624,53531,Valid,H5/6,8000.0,Found,2011.0,0.0,0.0,3.9030899870462306
Yamato 74485,24863,Valid,H6,46.66,Found,1974.0,0.0,35.66667,1.6689447437653737
Dhofar 067,6766,Valid,H4,229.0,Found,1999.0,19.18217,54.6445,2.3598354842363705
Yamato 86594,30100,Valid,H4,2.29,Found,1986.0,-71.5,35.66667,0.35983567198809197
Allan Hills A78132,1747,Valid,Eucrite-pmict,656.0,Found,1978.0,-76.71667,159.66667,2.8169038400376945
