name,id,nametype,recclass,mass,fall,year,reclat,reclong,log_mass,is_outlier
Miami,16630,Valid,H5,57700.0,Found,1930.0,35.66667,-100.6,4.761175813163258,0
Midland,16633,Valid,Iron,34.0,Found,1960.0,44.75,-79.88333,1.531478929815622,0
Miller (Kansas),16646,Valid,H4,970.0,Found,1950.0,38.625,-96.02278,2.986771734713971,0
Mills,16687,Valid,H6,88000.0,Found,1970.0,36.23,-104.11889,4.944482672155104,0
Milly Milly,16688,Valid,"Iron, IIIAB",26500.0,Found,1921.0,-26.11667,116.66667,4.423245873953197,0
Minas Gerais,16693,Valid,L6,1224.0,Found,1888.0,-18.5,-44.0,3.0877814181643584,0
Mincy,16694,Valid,Mesosiderite-B4,89400.0,Found,1857.0,36.55,-93.1,4.951337518800775,0
Mission,16704,Valid,L,12000.0,Found,1949.0,43.31667,-100.76667,4.079181246083816,0
Misteca,16705,Valid,"Iron, ungrouped",10000.0,Found,1804.0,16.8,-97.1,4.000000000043429,0
Moama,16708,Valid,Eucrite-cm,3416.0,Found,1940.0,-35.95,144.51667,3.533517862144103,0
Moctezuma,16710,Valid,"Iron, IAB-sLL",1700.0,Found,1889.0,29.8,-109.66667,3.2304489216337413,0
Modoc (1948),16712,Valid,H6,1800.0,Found,1948.0,38.5,-101.1,3.255272505344581,0
Mokrousovo,16714,Valid,L/LL4/5,789.2,Found,1968.0,55.9,66.7,2.8971870771304506,0
Molong,16716,Valid,"Pallasite, PMG",104000.0,Found,1912.0,-33.28333,148.88333,5.017033339302956,0
Monahans (1938),16718,Valid,"Iron, IIF",27900.0,Found,1938.0,31.48333,-102.88333,4.445604203289164,0
Monte Colina,16724,Valid,L3,116.8,Found,1963.0,-29.4,139.98333,2.0674428464946555,0
Monturaqui,16731,Valid,"Iron, IAB?",2000.0,Found,1965.0,-23.93333,-68.28333,3.3010299958811284,0
Moonbi,16734,Valid,"Iron, IIIF",13200.0,Found,1892.0,-30.91667,151.28333,4.120573931238751,0
Moorabie,16735,Valid,L3.8-an,14040.0,Found,1965.0,-30.01667,141.06667,4.147367107824719,0
Moorumbunna,16739,Valid,"Iron, IIIAB",77000.0,Found,1943.0,-28.91667,136.25,4.886490725178122,0
Morasko,16741,Valid,"Iron, IAB-MG",290000.0,Found,1914.0,52.46667,16.9,5.462397997900454,0
Morden,16743,Valid,"Iron, IAB?",2426.0,Found,1922.0,-30.5,142.33333,3.3848907967095707,0
Morland,16746,Valid,H6,295000.0,Found,1890.0,39.33333,-100.06667,5.469822015979635,0
Morradal,16748,Valid,"Iron, ungrouped",2750.0,Found,1892.0,62.0,7.66667,3.439332693988188,0
Morrill,16749,Valid,"Iron, IAB-an",1387.0,Found,1920.0,42.18333,-103.93333,3.1420764613864027,0
Morristown,16750,Valid,Mesosiderite-A3,16300.0,Found,1887.0,36.2,-83.38333,4.212187604430602,0
Morro do Rocio,16751,Valid,H5,369.0,Found,1928.0,-27.0,-51.0,2.5670263673360103,0
Morven,16754,Valid,H4/5,7100.0,Found,1925.0,-44.81667,171.13333,3.8512583487802434,0
